[  OK  ] Detecting motors at B and C
[  OK  ] Detecting servo right
[  OK  ] Detecting servo left
battery 5214.000000 mv
[  OK  ] Detecting servo battery
[FAILED] Detecting color sensor
[  OK  ] Detecting line sensor
Calibrating gyro[  OK  ] Detecting gyro
Print program
SET TIME=0.000000 NA UNTIL NA NA NA NA NA NA NA NA NA
SET SPEED=0.000000 NA UNTIL NA NA NA NA NA NA NA NA NA
SET STEER=0.000000 NA UNTIL NA NA NA NA NA NA NA NA NA
SET ODOMETER=0.000000 NA UNTIL NA NA NA NA NA NA NA NA NA
FOLLOWLEFT SPEED=25.000000 NA UNTIL NA ODOMETER=0.000000 > NIL=3.500000 NA NA NA NA NA
NA NA NA UNTIL NA NA NA NA NA NA NA NA NA
Run program
33 34 39 40 47 46 53 59 Set
33 34 39 40 47 46 53 59 Set
33 34 39 40 47 46 53 59 Set
33 34 39 40 47 46 53 59 Set
33 34 39 40 47 46 53 59 FollowLeft
pos:0.718749 angle:-1.988538 dt:0.012000 lp:3.875000
33 34 39 40 47 46 53 59 pos:0.718749 angle:-0.790623 dt:0.030000 lp:3.875000
33 34 38 40 47 47 54 60 pos:1.277778 angle:-1.692238 dt:0.039000 lp:3.777778
33 34 38 40 47 47 54 60 pos:1.277778 angle:-1.405556 dt:0.038000 lp:3.777778
33 34 38 40 47 47 54 60 pos:1.277778 angle:-1.405556 dt:0.038000 lp:3.777778
33 34 38 40 47 47 54 60 pos:1.277778 angle:-1.405556 dt:0.027000 lp:3.777778
33 34 38 40 47 47 54 60 pos:1.277778 angle:-1.405556 dt:0.027000 lp:3.777778
33 34 38 40 47 47 54 60 pos:1.277778 angle:-1.405556 dt:0.027000 lp:3.777778
31 32 38 40 47 46 53 60 pos:1.277778 angle:-1.405556 dt:0.031000 lp:3.777778
31 32 38 40 47 46 53 60 pos:1.277778 angle:-1.405556 dt:0.026000 lp:3.777778
31 32 38 40 47 46 53 60 pos:1.277778 angle:-1.405556 dt:0.029000 lp:3.777778
31 33 37 39 46 46 53 57 pos:1.277778 angle:-1.405556 dt:0.028000 lp:3.777778
31 33 37 39 46 46 53 57 pos:1.277778 angle:-1.405556 dt:0.028000 lp:3.777778
31 33 37 39 46 46 53 57 pos:1.277778 angle:-1.405556 dt:0.027000 lp:3.777778
31 33 37 39 46 46 53 57 pos:1.277778 angle:-1.405556 dt:0.027000 lp:3.777778
31 34 36 40 45 46 52 60 pos:1.725001 angle:-2.195650 dt:0.030000 lp:3.700000
31 34 36 40 45 46 52 60 pos:1.725001 angle:-1.897501 dt:0.036000 lp:3.700000
31 34 36 40 45 46 52 60 pos:1.725001 angle:-1.897501 dt:0.027000 lp:3.700000
31 34 36 41 46 45 51 60 pos:4.312500 angle:-6.591964 dt:0.028000 lp:3.250000
31 34 36 41 46 45 51 60 pos:4.312500 angle:-4.743750 dt:0.038000 lp:3.250000
31 34 36 41 46 45 51 60 pos:4.312500 angle:-4.743750 dt:0.038000 lp:3.250000
32 34 36 40 45 44 51 56 pos:-11.500000 angle:23.944643 dt:0.028000 lp:6.000000
32 34 36 40 45 44 51 56 pos:-11.500000 angle:12.650001 dt:0.038000 lp:6.000000
32 34 36 40 45 44 51 56 pos:-11.500000 angle:12.650001 dt:0.037000 lp:6.000000
31 33 36 39 44 41 51 56 pos:-11.499997 angle:12.649995 dt:0.029000 lp:6.000000
31 33 36 39 44 41 51 56 pos:-11.499997 angle:12.649997 dt:0.026000 lp:6.000000
31 33 36 39 44 41 51 56 pos:-11.499997 angle:12.649997 dt:0.029000 lp:6.000000
32 34 36 38 43 44 51 57 pos:-10.678572 angle:11.137966 dt:0.027000 lp:5.857143
32 34 36 38 43 44 51 57 pos:-10.678572 angle:11.746429 dt:0.044000 lp:5.857143
32 34 36 38 43 44 51 57 pos:-10.678572 angle:11.746429 dt:0.038000 lp:5.857143
31 35 39 43 49 50 53 56 pos:1.568183 angle:-10.796671 dt:0.027000 lp:3.727273
31 35 39 43 49 50 53 56 pos:1.568183 angle:-1.725001 dt:0.040000 lp:3.727273
31 35 39 43 49 50 53 56 pos:1.568183 angle:-1.725001 dt:0.039000 lp:3.727273
32 36 41 47 52 51 57 59 pos:6.571428 angle:-10.679086 dt:0.029000 lp:2.857143
32 36 41 47 52 51 57 59 pos:6.571428 angle:-7.228571 dt:0.038000 lp:2.857143
32 36 41 47 52 51 57 59 pos:6.571428 angle:-7.228571 dt:0.036000 lp:2.857143
33 37 42 48 52 51 57 60 pos:7.076922 angle:-8.133232 dt:0.029000 lp:2.769231
33 37 42 48 52 51 57 60 pos:7.076922 angle:-7.784615 dt:0.039000 lp:2.769231
33 37 42 48 52 51 57 60 pos:7.076922 angle:-7.784615 dt:0.038000 lp:2.769231
34 36 39 46 52 51 54 60 pos:5.339284 angle:-4.752156 dt:0.031000 lp:3.071429
34 36 39 46 52 51 54 60 pos:5.339284 angle:-5.873213 dt:0.036000 lp:3.071429
34 35 39 45 50 50 53 59 pos:5.366667 angle:-5.917376 dt:0.039000 lp:3.066667
34 35 39 45 50 50 53 59 pos:5.366667 angle:-5.903334 dt:0.043000 lp:3.066667
34 35 39 45 50 50 53 59 pos:5.366667 angle:-5.903334 dt:0.034000 lp:3.066667
34 35 39 41 47 49 51 56 pos:-0.000000 angle:3.975308 dt:0.027000 lp:4.000000
34 35 39 41 47 49 51 56 pos:-0.000000 angle:0.000000 dt:0.038000 lp:4.000000
34 35 39 41 47 49 51 56 pos:-0.000000 angle:0.000000 dt:0.037000 lp:4.000000
